Date,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
9/9,111.43,214.22,251.56,285.12,194.04,,,,,,
9/10,108.27,221.15,251.56,285.12,188.25,,,,,,
9/11,108.89,221.15,251.56,291.87,192.22,,,,,,
9/12,108.89,221.15,251.98,291.54,194.45,,,,,,
9/13,108.89,221.49,255.04,290.84,193.52,,,,,,
9/14,111.63,221.74,263.45,291.52,193.52,,,,,,
9/15,114.06,224.31,256.62,286.06,193.52,,,,,,
9/16,119.09,220.52,255.32,286.06,194.07,,,,,,
9/17,121.19,219.13,255.32,286.06,196.19,,,,,,
9/18,122.51,219.13,255.32,286.29,198.07,,,,,,
9/19,122.51,219.13,257.41,281.81,206.09,,,,,,
9/20,122.51,212.37,256.78,279.82,203.73,,,,,,
9/21,116.46,210.77,259.9,281.06,203.73,,,,,,
9/22,114.13,212.64,260.16,274.69,203.73,,,,,,
9/23,115.63,217.4,248.31,274.69,199.01,,,,,,
9/24,118.07,216.77,248.31,274.69,202.3,,,,,,
9/25,124.98,216.77,248.31,274.34,199.92,,,,,,
9/26,124.98,216.77,248.13,277.16,196.23,,,,,,
9/27,124.98,217.25,256.27,278.01,193.95,,,,,,
9/28,124.32,215.75,267.17,266.87,193.95,,,,,,
9/29,117.06,218.5,257.77,256.45,193.95,,,,,,
9/30,117.26,220.1,253.98,256.45,196.51,,,,,,
10/1,115.49,226,253.98,256.45,197.41,,,,,,
10/2,112.1,226,253.98,255.47,198.59,,,,,,
10/3,112.1,226,271.54,249.01,211.76,,,,,,
10/4,112.1,232.05,294.3,234.55,211.83,,,,,,
10/5,119.41,236.89,291.35,232.9,211.83,,,,,,
10/6,124.76,231.32,294.39,230.72,211.83,,,,,,
10/7,122.04,234.19,296.96,230.72,218.38,,,,,,
10/8,124.16,238.87,296.96,230.72,210.31,,,,,,
10/9,120.57,238.87,296.96,231.81,208.39,,,,,,
10/10,120.57,238.87,277.53,233.84,214.84,,,,,,
10/11,120.57,238.04,274.48,227.76,214.66,,,,,,
10/12,116.82,238.29,280.78,217.5,214.66,,,,,,
10/13,116.57,241.1,285.84,228.03,214.66,,,,,,
10/14,118.21,243.5,283.09,228.03,212.36,,,,,,
10/15,115.1,247.39,283.09,228.03,204.52,,,,,,
10/16,113.38,247.39,283.09,231.55,205.53,,,,,,
10/17,113.38,247.39,278.81,231.45,205.18,,,,,,
10/18,113.38,245.66,262.56,236.6,197.2,,,,,,
10/19,113.73,245.8,270.72,239.42,197.2,,,,,,
10/20,117.04,249.89,265.03,234.38,197.2,,,,,,
10/21,110.71,247.01,262.2,234.38,193.81,,,,,,
10/22,112.27,247.96,262.2,234.38,196.9,,,,,,
10/23,110.95,247.96,262.2,227.16,194.91,,,,,,
10/24,110.95,247.96,269.02,217.27,194.48,,,,,,
10/25,110.95,252.87,274.67,221.38,198.95,,,,,,
10/26,107.19,247.57,280.26,215.96,198.95,,,,,,
10/27,109.38,239.42,283.65,221.77,198.95,,,,,,
10/28,103.61,237.64,261.29,221.77,186.32,,,,,,
10/29,99.8,241.47,261.29,221.77,187.29,,,,,,
10/30,100.47,241.47,261.29,211.93,191.15,,,,,,
10/31,100.47,241.47,255.82,213.88,192.13,,,,,,
11/1,100.47,243.43,265.45,209.05,192.45,,,,,,
11/2,102.15,248.01,273.22,216.6,192.45,,,,,,
11/3,104.04,233.1,274.89,212.1,192.45,,,,,,
11/4,107.31,227.76,277.23,212.1,200.17,,,,,,
11/5,108.59,230.84,277.23,212.1,200.96,,,,,,
11/6,105.19,230.84,277.23,215.69,201.04,,,,,,
11/7,105.19,230.84,268.56,208.77,201.61,,,,,,
